ins_code;local;puesto;cliente
118;Sagrado Corazon de Jesus;Bajo de comunicador;jbgye
117;Cementerio General ;Sala Piedad 1;jbgye
134;Cementerio General ;Parque Seco;jbgye
142;Cementerio General ;Puerta1;jbgye
139;Cementerio General ;Puerta 10;jbgye
138;Cementerio General ;Puerta 13;jbgye
137;Cementerio General ;Puerta 15;jbgye
141;Cementerio General ;Puerta 6;jbgye
140;Cementerio General ;Puerta 8;jbgye
136;Cementerio General ;Sala Esperanza;jbgye
135;Cementerio General ;Sala Piedad;jbgye
143;Cementerio General ;Salas Samaritana;jbgye
110;Centro de Negocios el Terminal;PUESTO 1;jbgye
122;Ciudad Deportiva;Garita Principal;jbgye
107;Hospital Alfredo Paulson;Clinica Privada;jbgye
123;Clinica Km 20 Via a la Costa;PUESTO 1;semedic
162;COLEGIO PARTICULAR EMAUS - COPEM;PUESTO 1;jbgye
104;Hospital Alfredo Paulson;Consulta Externa;jbgye
156;COPA CARGA;CARGA;COPA
45;COPA PAX;PAX;COPA
73;COPA-ATO-QUITO;PUESTO 1;COPA
94;CORPAC CUENCA;PUESTO 1;CORPAC
155;DHL AEROPUERTO GYE;AEROPUERTO GYE;DHL
90;DHL AGENCIA COURIER;AGENCIA COURIER;DHL
30;DHL AMBATO;DHL AMBATO;DHL
84;DHL ATO UIO;ATO UIO;DHL
31;DHL CUENCA;DHL CUENCA;DHL
32;DHL EXPRESS;DHL EXPRESS;DHL
60;DHL FISICA UIO;FISICA UIO;DHL
92;DHL GARITA PTA;GARITA PTA;DHL
29;DHL MANTA;DHL MANTA;DHL
95;DHL MANTA CENTRO;MANTA CENTRO;DHL
154;DHL MECANO;DHL MECANO;DHL
125;DHL Mekano;DHL Mekano;DHL
33;DHL SUPPLY CHAIN;SUPPLY CHAIN;DHL
38;DHL-ATO-GYE;ATO-GYE;DHL
50;ECUACENTAIR HANGAR;ECUACENTAIR HANGAR;ECUACENTAIR
105;HOSPITAL ALFREDO PAULSON;EMERGENCIAS ;jbgye
44;EMSA-ATO-GYE;ATO-GYE;EMSA
103; Hospital Roberto Gilbert;Entrada a Consulta Externa;jbgye
101;Hospital Roberto Gilbert;Entrada a Emergencia;jbgye
124;Expomedios;ELIMINAR;
59;EXPRESS;ELIMINAR;
126;C.C.TERMINAL;Galarmobil ;jbgye
121;Panteon Metropolitano Via a la Costa;GARITA 3;jbgye
109;Complejo Hospitalario Alejandro Mann;Garita de Supervisores;jbgye
128;GARZOCENTRO;puesto 1;jbgye
114;Hospital Luis Vernaza;Externa - Posterior;jbgye
130;Hospital Luis Vernaza;Emergencia Garita 7;jbgye
111;Hospital Luis Vernaza;Vernaza  Garita 1 ingreso peatonal;jbgye
116;Hospital Luis Vernaza;Externa Gama 7;jbgye
131;Hospital Luis Vernaza;Gama 4;jbgye
132;Hospital Luis Vernaza;Garita 2 - Timbradores;jbgye
115;Hospital Luis Vernaza;Garita 3 -Ingreso Peatonal;jbgye
112;Hospital Luis Vernaza ;Garita Emergencia Clinica Sotomayor;jbgye
133;Hospital Luis Vernaza;Garita Supervisores;jbgye
113;Hospital Luis Vernaza;Garita Vehicular Gama 33;jbgye
146;HOSPITAL SEMEDIC ;EMERGENCIA;semedic
144;HOSPITAL SEMEDIC ;LOBBY;semedic
148;HOSPITAL SEMEDIC ;PARQUEO;semedic
145;HOSPITAL SEMEDIC ;PLUMA;semedic
147;HOSPITAL SEMEDIC ;TORNIQUETE;semedic
106;Hospital Alfredo Paulson;Hall principal;jbgye
151;INC;CONSULTA EXTERNA;jbgye
152;INC;EMERGENCIA;jbgye
150;INC;GARITA VEHICULAR;jbgye
100;Hospital Roberto Gilbert;Ingreso a Cuidados Cristianos;jbgye
99;Hospital Roberto Gilbert;Ingreso a Torniquetes;jbgye
108;Hospital Alfredo Paulson;Ingreso Peatonal;jbgye
97;Hospital Roberto Gilbert;Ingreso Peatonal;jbgye
98;Hospital Roberto Gilbert;Ingreso principal al Hall de informacion;jbgye
102;Hospital Roberto Gilbert;Ingreso y Salida Vehicular;jbgye
153;JBG UNIDAD MEDICA UIO;puesto 1;jbgye
69;C.C.TERMINAL;puesto 1;jbgye
65;C.C. PLAZA VERNAZA;puesto 1;jbgye
