ins_code;local;puesto;cliente
;ASILO BIEN PUBLICO;ASILO BIEN PUBLICO;
;ASILO BIEN PUBLICO;Control de acceso;
;BDS-MACHALA;puesto 1;loteria
65;C.C. PLAZA VERNAZA;puesto 1;jbgye
126;C.C.TERMINAL;Galarmobil;jbgye
69;C.C.TERMINAL;puesto 1;jbgye
149;CASA DEL DR. ISLA MOCOLI;ISLA MOCOLI;semedic
;CC. LAS AMERICAS;CONDOMINIO;jbgye
;CC. LAS AMERICAS;GARITA;jbgye
;CC. PLAZA ORELLANA;PARQUEADERO ACCESO;jbgye
;CC. TERMINAL;Galarmobil;
;CC. TERMINAL;TERRENO VALDIO;jbgye
;CEMENTERIO GENERAL;Edificio ADM Sala de Velaciones;jbgye
134;Cementerio General;Parque Seco;jbgye
;CEMENTERIO GENERAL;Parqueo Sala de Velaciones;jbgye
;CEMENTERIO GENERAL;Puerta #1;jbgye
139;Cementerio General;Puerta 10;jbgye
138;Cementerio General;Puerta 13;jbgye
137;Cementerio General;Puerta 15;jbgye
141;Cementerio General;Puerta 6;jbgye
140;Cementerio General;Puerta 8;jbgye
142;Cementerio General;Puerta1;jbgye
48;Cementerio General;puesto 1;jbgye
;CEMENTERIO GENERAL;Sala Especial y Puerta #3;jbgye
136;Cementerio General;Sala Esperanza;jbgye
;CEMENTERIO GENERAL;Sala Exclusiva;jbgye
;CEMENTERIO GENERAL;Sala Oratoria;jbgye
135;Cementerio General;Sala Piedad;jbgye
117;Cementerio General;Sala Piedad 1;jbgye
;CEMENTERIO GENERAL;Sala Solidaria;jbgye
143;Cementerio General;Salas Samaritana;jbgye
110;Centro de Negocios el Terminal;PUESTO 1;jbgye
;CENTRO RECREACIONAL;Control de acceso;jbgye
64;CHAM;puesto 1;jbgye
;CHILENITA;puesto 1;CHILENITA
122;Ciudad Deportiva;Garita Principal;jbgye
77;CIUDAD DEPORTIVA;puesto 1;jbgye
123;Clinica Km 20 Via a la Costa;PUESTO 1;semedic
162;COLEGIO PARTICULAR EMAUS - COPEM;PUESTO 1;jbgye
109;Complejo Hospitalario Alejandro Mann;Garita de Supervisores;jbgye
51;CONDOMINIO AROSEMENA;puesto 1;jbgye
73;COPA-ATO-QUITO;PUESTO 1;COPA
156;COPA CARGA;CARGA;COPA
45;COPA PAX;PAX;COPA
94;CORPAC CUENCA;PUESTO 1;CORPAC
155;DHL AEROPUERTO GYE;AEROPUERTO GYE;DHL
90;DHL AGENCIA COURIER;AGENCIA COURIER;DHL
30;DHL AMBATO;DHL AMBATO;DHL
38;DHL-ATO-GYE;ATO-GYE;DHL
84;DHL ATO UIO;ATO UIO;DHL
31;DHL CUENCA;DHL CUENCA;DHL
32;DHL EXPRESS;DHL EXPRESS;DHL
60;DHL FISICA UIO;FISICA UIO;DHL
92;DHL GARITA PTA;GARITA PTA;DHL
29;DHL MANTA;DHL MANTA;DHL
95;DHL MANTA CENTRO;MANTA CENTRO;DHL
154;DHL MECANO;DHL MECANO;DHL
;DHL MECANOS;puesto 1;DHL
125;DHL Mekano;DHL Mekano;DHL
33;DHL SUPPLY CHAIN;SUPPLY CHAIN;DHL
50;ECUACENTAIR HANGAR;ECUACENTAIR HANGAR;ECUACENTAIR
;ED. JOSE M. SAENZ;Ascensor privado;jbgye
;ED. JOSE M. SAENZ;Control de acceso;jbgye
44;EMSA-ATO-GYE;ATO-GYE;EMSA
;GARZOCENTRO;ALA CENTRO;jbgye
;GARZOCENTRO;ALA NORTE;jbgye
;GARZOCENTRO;ALA SUR;jbgye
;GARZOCENTRO;PATIO COMIDAS;jbgye
128;GARZOCENTRO;puesto 1;jbgye
;H. LUIS VERNAZA;CADENA DE EMERGENCIA;jbgye
;H. LUIS VERNAZA;CONSULTA EXTERNA;jbgye
;H. LUIS VERNAZA;GARITA # 1 INFORMACION;jbgye
;H. LUIS VERNAZA;INGRESO PEATONAL COLABORADORES;jbgye
;H. LUIS VERNAZA;INGRESO VEHICULAR;jbgye
;H. LUIS VERNAZA;INGRESO Y SALIDA  VEHICULAR CLINICA;jbgye
;H. LUIS VERNAZA;PUERTA PRINCIPAL  CLINICA SOTOMAYOR;jbgye
;H. LUIS VERNAZA;RO NDA GENERAL CONSULTA EXTERNA;jbgye
;H. LUIS VERNAZA;RONDA GENERAL;jbgye
;HOGAR CALDERON AYLUARDO;Control de acceso;jbgye
