zona,proyecto,puesto,ins_code,sugerencia_local,confianza
C.C Y LOTERIA,BDS-MACHALA,BDS - MACHALA,,PDS BOYACÁ,0.57
C.C Y LOTERIA,BDS-MACHALA,RONDAS,,PDS BOYACÁ,0.57
C.C Y LOTERIA,CC. LAS AMERICAS,CONDOMINIO,69,JBGYE C.C. LAS AMÉRICAS,1.05
C.C Y LOTERIA,CC. LAS AMERICAS,GARITA,69,JBGYE C.C. LAS AMÉRICAS,1.05
C.C Y LOTERIA,CC. PLAZA CEIBOS,INSTALACION,70,JBGYE PLAZA CEIBOS,1.03
C.C Y LOTERIA,CC. PLAZA CEIBOS,RONDAS,70,JBGYE PLAZA CEIBOS,1.03
C.C Y LOTERIA,CC. PLAZA ORELLANA,CC. TERMINAL,74,JBGYE PLAZA ORELLANA,1.05
C.C Y LOTERIA,CC. PLAZA ORELLANA,PARQUEADERO ACCESO,74,JBGYE PLAZA ORELLANA,1.05
C.C Y LOTERIA,CC. PLAZA ORELLANA,RONDAS N,74,JBGYE PLAZA ORELLANA,1.05
C.C Y LOTERIA,CC. TERMINAL,CC. TERMINAL,,Galarmobil del C.C.TERMINAL,0.7
C.C Y LOTERIA,CC. TERMINAL,GALARZA,,Galarmobil del C.C.TERMINAL,0.7
C.C Y LOTERIA,CC. TERMINAL,INSTALACION,,Galarmobil del C.C.TERMINAL,0.7
C.C Y LOTERIA,CC. TERMINAL,TERRENO VALDÍO,170,Galarmobil del C.C.TERMINAL,0.7
C.C Y LOTERIA,CIUDAD DEPORTIVA,CIUDAD DEPORTIVA,77,JBGYE CIUDAD DEPORTIVA,1.08
C.C Y LOTERIA,CIUDAD DEPORTIVA,RONDAS N,77,JBGYE CIUDAD DEPORTIVA,1.08
C.C Y LOTERIA,CONDOMINIO,CIUDAD DEPORTIVA,,JBGYE CIUDAD DEPORTIVA,0.93
C.C Y LOTERIA,CONDOMINIO,CONDOMINIO,,JBGYE CONDOMINIO AROSEMENA,0.68
C.C Y LOTERIA,GARZOCENTRO,,128,GARZOCENTRO,1.12
C.C Y LOTERIA,GARZOCENTRO,ALA CENTRO,128,GARZOCENTRO,1.12
