"Local del archivo",Puesto,Motivo,"Local inactivo que coincide","Locales activos parecidos"
"Corazón de Jesús","Auspicio Corazón de Jesús abajo del Comunicador","nombre consolidado: el local no existe",,
"CC. LAS AMERICAS",CONDOMINIO,"nombre consolidado: el local no existe",,"170 CC. TERMINAL — TERRENO VALDIO"
"CC. LAS AMERICAS",GARITA,"nombre consolidado: el local no existe",,"170 CC. TERMINAL — TERRENO VALDIO"
"CC. PLAZA ORELLANA","PARQUEADERO ACCESO","nombre consolidado: el local no existe",,"170 CC. TERMINAL — TERRENO VALDIO"
"CENTRO RECREACIONAL","Control de acceso","nombre consolidado: el local no existe",,"53 JBGYE CENTRO RECREACIONAL SUR | 63 JBGYE GARZOCENTRO | 95 DHL MANTA CENTRO"
"Ciudad Deportiva Garita Principal","Garita Principal","local retirado por la lista de locales","122 — Ciudad Deportiva Garita Principal","77 JBGYE CIUDAD DEPORTIVA"
"DHL AEROPUERTO GYE","puesto 1","local retirado por la lista de locales","155 — DHL AEROPUERTO GYE","60 DHL FISICA UIO | 29 DHL MANTA | 30 DHL AMBATO"
"DHL MECANO","puesto 1","local retirado por la lista de locales","154 — DHL MECANO","60 DHL FISICA UIO | 29 DHL MANTA | 30 DHL AMBATO"
"DHL MECANOS — puesto 1","puesto 1","local retirado por la lista de locales","180 — DHL MECANOS — puesto 1","60 DHL FISICA UIO | 29 DHL MANTA | 30 DHL AMBATO"
C.C.TERMINAL,Galarmobil,"nombre consolidado: el local no existe",,
"Panteón Metropolitano Vía a la Costa","Garita 3","nombre consolidado: el local no existe",,"120 Panteón Metropolitano Garita Principal"
GARZOCENTRO,"puesto 1","local retirado por la lista de locales","128 — GARZOCENTRO","63 JBGYE GARZOCENTRO"
GARZOCENTRO,"ALA CENTRO","local retirado por la lista de locales","128 — GARZOCENTRO","63 JBGYE GARZOCENTRO"
GARZOCENTRO,"ALA NORTE","local retirado por la lista de locales","128 — GARZOCENTRO","63 JBGYE GARZOCENTRO"
GARZOCENTRO,"ALA SUR","local retirado por la lista de locales","128 — GARZOCENTRO","63 JBGYE GARZOCENTRO"
GARZOCENTRO,"PATIO COMIDAS","local retirado por la lista de locales","128 — GARZOCENTRO","63 JBGYE GARZOCENTRO"
"HOGAR CORAZON JESUS",GARITA,"nombre consolidado: el local no existe",,"49 JBGYE HOGAR CORAZON DE JESUS | 196 HOGAR CALDERON AYLUARDO"
