sitio_propuesto,cliente,ins_code,local,razon_social,direccion,lat,lng
"CEMENTERIO PUERTA",JBGYE,117,"Cementerio General Sala Piedad 1",JBGYE,"Calle Loja",-2.181465,-79.889602
"CEMENTERIO PUERTA",JBGYE,134,"Cementerio Parque Seco",JBGYE,"Av. Quito",-2.180859,-79.889649
"CEMENTERIO PUERTA",JBGYE,142,"Cementerio Puerta 1",JBGYE,"Av. Quito",-2.183538,-79.88497
"CEMENTERIO PUERTA",JBGYE,139,"Cementerio Puerta 10",JBGYE,"Av. Quito",-2.180407,-79.888555
"CEMENTERIO PUERTA",JBGYE,138,"Cementerio Puerta 13",JBGYE,"Av. Quito",-2.179078,-79.885198
"CEMENTERIO PUERTA",JBGYE,137,"Cementerio Puerta 15",JBGYE,"Av. Quito",-2.178487,-79.881685
"CEMENTERIO PUERTA",JBGYE,141,"Cementerio Puerta 6",JBGYE,"Av. Quito",-2.183373,-79.887274
"CEMENTERIO PUERTA",JBGYE,140,"Cementerio Puerta 8",JBGYE,"Av. Quito",-2.18281,-79.889523
"CEMENTERIO PUERTA",JBGYE,136,"Cementerio Sala Esperanza",JBGYE,"Av. Quito",-2.181847,-79.889618
"CEMENTERIO PUERTA",JBGYE,135,"Cementerio Sala Piedad",JBGYE,"Av. Quito",-2.181423,-79.889755
"CEMENTERIO PUERTA",JBGYE,143,"Cementerio Salas Samaritana",JBGYE,"Av. Quito",-2.183778,-79.886532
"CEMENTERIO PUERTA",JBGYE,48,"JBGYE CEMENTERIO","Total Security Company","JOSE MASCOTE 101 Y AV. PEDRO MENENDEZ GILBERT",-2.18104,-79.88976
"HOSPITAL LUIS",JBGYE,114,"Hospital Luis Vernaza  Consulta Externa - Posterior",JBGYE,"Calle Loja",-2.183513,-79.880274
"HOSPITAL LUIS",JBGYE,130,"Hospital Luis Vernaza  Emergencia Garita 7",JBGYE,"Calle Loja",-2.183254,-79.881765
"HOSPITAL LUIS",JBGYE,111,"Hospital Luis Vernaza  Garita 1 ingreso peatonal",JBGYE,"AV. DE LAS AMERICAS",-2.183453,-79.880693
"HOSPITAL LUIS",JBGYE,116,"Hospital Luis Vernaza Consulta Externa Gama 7",JBGYE,"Calle Loja",-2.183389,-79.880305
"HOSPITAL LUIS",JBGYE,131,"Hospital Luis Vernaza Gama 4 ",JBGYE,"Calle Loja",-2.182357,-79.882133
"HOSPITAL LUIS",JBGYE,132,"Hospital Luis Vernaza Garita 2 - Timbradores ",JBGYE,"Calle Loja",-2.184148,-79.881021
"HOSPITAL LUIS",JBGYE,115,"Hospital Luis Vernaza Garita 3 Ingreso Peatonal",JBGYE,"Calle Loja",-2.183902,-79.880423
"HOSPITAL LUIS",JBGYE,112,"Hospital Luis Vernaza Garita Emergencia Clínica Sotomayor",JBGYE,"Calle Loja",-2.183074,-79.881489
"HOSPITAL LUIS",JBGYE,133,"Hospital Luis Vernaza Garita Supervisores",JBGYE,"Calle Loja",-2.183359,-79.880686
"HOSPITAL LUIS",JBGYE,113,"Hospital Luis Vernaza Garita Vehicular Gama 33",JBGYE,"Calle Loja",-2.183376,-79.88046
"HOSPITAL LUIS",JBGYE,72,"JBGYE HOSPITAL LUIS VERNAZA","Total Security Company","Loja No. 700 y Escobedo",-2.17982,-79.88171
"HOSPITAL ROBERTO GILBERT",JBGYE,103,"Entrada a Consulta Externa del Hospital Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.176756,-79.883162
"HOSPITAL ROBERTO GILBERT",JBGYE,101,"Entrada a Emergencia del Hospital Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.177685,-79.88322
"HOSPITAL ROBERTO GILBERT",JBGYE,109,"Garita de Supervisores Complejo Hospitalario Alejandro Mann","Hospital Roberto Gilbert","Av. Democracia",-2.176151,-79.883543
"HOSPITAL ROBERTO GILBERT",JBGYE,97,"Ingreso Peatonal Hospital Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.175577,-79.883668
"HOSPITAL ROBERTO GILBERT",JBGYE,100,"Ingreso a Cuidados Cristianos del Hospital Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.177407,-79.883538
"HOSPITAL ROBERTO GILBERT",JBGYE,99,"Ingreso a Torniquetes de Hospitalización Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.177254,-79.883974
"HOSPITAL ROBERTO GILBERT",JBGYE,98,"Ingreso principal al Hall de información del Hospital Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.177105,-79.884003
"HOSPITAL ROBERTO GILBERT",JBGYE,102,"Ingreso y Salida Vehicular del Hospital Roberto Gilbert","Hospital Roberto Gilbert","Av. Democracia",-2.17686,-79.882959
"HOSPITAL ALFREDO PAULSON",JBGYE,107," Clínica Privada del Hospital Alfredo Paulson","Hospital Alfredo Paulson","Av. Democracia",-2.177242,-79.885634
"HOSPITAL ALFREDO PAULSON",JBGYE,104,"Consulta Externa Hospital Alfredo Paulson","Hospital Alfredo Paulson","Av. Democracia",-2.178403,-79.884742
"HOSPITAL ALFREDO PAULSON",JBGYE,105,"EMERGENCIAS HOSPITAL ALFREDO PAULSON","Hospital Alfredo Paulson","Av. Democracia",-2.17735,-79.885199
"HOSPITAL ALFREDO PAULSON",JBGYE,106,"Hospitalización en el Hall Principal Hospital Alfredo Paulson","Hospital Alfredo Paulson","Av. Democracia",-2.177242,-79.885634
"HOSPITAL ALFREDO PAULSON",JBGYE,108,"Ingreso Peatonal del Hospital Alfredo Paulson","Hospital Alfredo Paulson","Av. Democracia",-2.176327,-79.885666
"HOSPITAL ALFREDO PAULSON",JBGYE,129,"Parqueadero del Hospital Alfredo Paulson",JBGYE,"Agustin Freire Icaza",-2.178319,-79.882757
SAVERCORP,SEMEDIC,146,"HOSPITAL SEMEDIC - EMERGENCIA",SAVERCORP,"AV. León Febres Cordero y Av. Principal Villa Club",-2.048305,-79.88829
SAVERCORP,SEMEDIC,144,"HOSPITAL SEMEDIC - LOBBY",SAVERCORP,"AV. León Febres Cordero y Av. Principal Villa Club",-2.048401,-79.888372
